Plant_ID,Endophyte,Endo_Confirmed,Rs_Strain,Chamber_Shelf,Start_LeafLength,Start_Tillers,X2DAI.020117,X3DAI.020217,X4DAI.020317,X7DAI.020617,X8DAI.020717,X9DAI.020817,X10DAI.020917,X11DAI.021017,X13DAI.021217,X15DAI.021417,X16DAI.021517,X18DAI.021717,X21DAI.022017,X24DAI.022317,X29DAI.022817,X36DAI.030717
52,EF,EF,3,B_T,24.3,2,3,3.4,3.7,3.7,3.7,3.7,3.7,3.7,3.8,,,,,,,
58,EF,EF,3,E_B,24.5,4,1.9,2.4,3,,,,,,,,,,,,,
50,EF,EF,3,B_T,32,3,2.1,2.3,2.4,4.4,4.5,4.5,4.5,5,5.6,5.6,5.6,5.6,,,,
53,EF,EF,3,E_B,33.2,1,0.9,1.5,1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.7,1.8,
59,EF,EF,3,E_B,38.5,3,0.7,1.4,1.6,2.5,2.6,2.6,2.5,2.5,2.5,2.5,2.6,2.6,2.7,2.6,2.7,
54,EF,EF,3,E_T,27,3,1.2,1.4,1.8,1.8,1.8,2,2.8,2.8,3.7,,,,,,,
51,EF,EF,3,B_T,31.6,3,0.8,1.8,2.1,2.2,2.2,2.2,2.2,2.2,2.5,2.5,2.5,2.6,2.6,2.6,3,
57,EF,EF,3,B_B,39.5,2,1.9,2.1,2.4,2.8,2.8,3,3,3,3.2,3.2,3.4,3.6,3.6,3.7,,
55,EF,EF,3,E_T,27.3,3,0.6,2.1,2.2,2.3,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,
56,EF,EF,3,E_T,27.1,2,1.7,1.8,1.9,2.3,2.3,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,
62,EI,EI_yes,3,E_T,29.2,1,2.6,3,3.5,3.8,3.8,3.9,3.7,3.8,3.8,3.8,4.2,4.2,4.2,4.3,4.9,
63,EI,EI_yes,3,E_T,25,1,2.5,3,3.7,6,6,6,6.2,6.2,7,,,,,,,
64,EI,EI_yes,3,E_T,26.8,3,1,2.5,2.8,2.8,2.8,2.9,3,3.2,3.2,3.2,3.2,,,,,
66,EI,EI_yes,3,E_T,27,1,1.9,2.1,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.5,3.2
60,EI,EI_yes,3,E_T,27.1,3,1.2,3,3.2,4.2,4.5,4.7,5,5,,,,,,,,
70,EI,EI_yes,3,E_B,27.3,2,1.6,2,2,2,2.4,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,
75,EI,EI_yes,3,E_T,27.6,1,0.3,1,1.1,1.2,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.6,1.6,1.6
71,EI,EI_yes,3,E_B,29.6,2,0.3,0.8,0.8,0.9,2,2,,,,,,,,,,
78,EI,EI_yes,3,E_T,25.5,4,0.1,0.8,2.9,,,,,,,,,,,,,
72,EI,EI_yes,3,E_B,26.2,2,1.2,1.8,2.1,2.4,2.5,3.5,,,,,,,,,,
76,EI,EI_yes,3,E_T,23.5,1,0.9,1.5,1.5,1.6,2,3,3.1,3.9,3.9,4,,,,,,
68,EI,EI_yes,3,E_T,30.9,1,,,,2.1,2.1,2.1,4,,,,,,,,,
69,EI,EI_yes,3,E_B,30.1,1,,2,2.1,2.2,2.2,2.2,2.4,2.3,2.3,2.3,2.8,2.8,3.3,3.3,3.3,4.2
73,EI,EI_yes,3,E_T,28.6,3,0.9,2.2,3,3,3.4,3.4,,,,,,,,,,
89,EF,EF,NEG,E_T,32.7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
90,EF,EF,NEG,E_T,26.1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
96,EF,EF,NEG,B_T,28,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
83,EI,EI_yes,NEG,E_T,22.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
87,EI,EI_yes,NEG,E_T,27.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
97,EF,EF,NEG,B_T,25.1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
83,EI,EI_yes,NEG,E_T,30.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
91,EF,EF,NEG,E_T,32.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
84,EI,EI_yes,NEG,E_T,27.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
94,EF,EF,NEG,B_T,35.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
