plant_ID,leaf_ID,disease_type,chamber_ID,shelf_ID,timing,DAI.len.000,DAI.len.001,DAI.len.002,DAI.len.003,DAI.len.004,DAI.len.005,DAI.len.006,DAI.len.007,DAI.len.008,DAI.len.009,DAI.len.010,DAI.len.011,DAI.len.012,DAI.len.013,DAI.len.014,DAI.len.015,DAI.len.016,DAI.len.017,DAI.len.018,DAI.len.019,DAI.len.020,DAI.len.021,DAI.len.022,DAI.len.023,DAI.len.024,Censor_prethx,Death_prethx,Censor_postthx,Death_postthx
32,A,L,b,t,rs2cc1,0,NA,NA,0,1.3,2.1,3.6,NA,3.3,,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,24,0,34
32,B,L,b,t,rs2cc1,0,NA,NA,1,3.2,3.6,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,20,1,20
33,A,L,b,t,rs2cc1,0,NA,NA,0.6,1.2,1.2,1.3,NA,1.2,,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,24,1,34
33,B,L,b,t,rs2cc1,0,NA,NA,0,0.9,0.9,0.9,NA,0.9,,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,24,1,34
34,A,L,b,b,rs2cc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,15,1,15
34,B,L,b,b,rs2cc1,0,NA,NA,0,0.8,2.3,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,24,1,24
35,A,L,e,t,rs2cc1,0,NA,NA,0,1.3,3.2,3.4,NA,3.4,,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,,0,24,0,34
35,B,L,e,t,rs2cc1,0,NA,NA,0,2,2.8,3.2,NA,3.1,,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,,0,24,0,34
36,A,L,e,b,rs2cc1,0,NA,NA,0.5,1.2,1.3,1.3,NA,1.2,,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,,0,24,0,34
36,B,L,e,b,rs2cc1,0,NA,NA,1.2,3.3,3.4,3.2,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,24,1,24
37,A,L,b,b,rs2cc1,0,NA,NA,1.1,1.5,1.9,1.8,NA,1.8,,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,24,1,34
37,B,L,b,b,rs2cc1,0,NA,NA,1.1,1.1,1.4,1.6,NA,2.5,,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,,0,24,0,34
38,A,L,e,t,rs2cc1,0,NA,NA,0,0.6,0.9,1.1,NA,0.9,,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,0,24,0,34
38,B,L,e,t,rs2cc1,0,NA,NA,0,1,NA,1.1,NA,1.1,,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,,0,24,0,34
39,A,L,e,b,rs2cc1,0,NA,NA,1.2,3.9,3.9,4.2,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,24,1,24
39,B,L,e,b,rs2cc1,0,NA,NA,0,0.2,1.7,2.9,NA,2.9,,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,,0,24,0,34
40,A,L,b,t,rs2cc1,0,NA,NA,0.4,0.5,0.5,0.7,NA,0.5,,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,,0,24,0,34
